Date,City,Station_ID,Year,Month,Day,Season,Max_Temp_F,Min_Temp_F,Avg_Temp_F,Max_Temp_C,Min_Temp_C,Avg_Temp_C,Precipitation_in,Precipitation_mm,Snowfall_in,Snowfall_cm,Snow_Depth_in,Avg_Wind_Speed_mph,Avg_Wind_Speed_kmh,Max_Wind_Speed_mph,Fog_Present,Condition
2020-02-09,Chicago,USW00094846,2020,2,9,Winter,37,25,31.0,2.7777777777777777,-3.888888888888889,-0.5555555555555556,0.14,3.556,1.0,2.54,0.0,10.07,16.2060538,21.0,    1,Snowy
2020-02-09,Los Angeles,USW00023174,2020,2,9,Winter,63,55,59.0,17.22222222222222,12.777777777777779,15.0,0.0,0.0,0.0,0.0,0.0,8.28,13.3253352,21.0,,Clear
2020-02-09,New York,USW00094728,2020,2,9,Winter,44,31,37.5,6.666666666666667,-0.5555555555555556,3.0555555555555554,0.0,0.0,0.0,0.0,0.0,5.82,9.3663588,13.0,,Freezing
2020-02-10,Chicago,USW00094846,2020,2,10,Winter,39,26,32.5,3.888888888888889,-3.3333333333333335,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,5.82,9.3663588,18.1,,Freezing
2020-02-10,Los Angeles,USW00023174,2020,2,10,Winter,77,54,65.5,25.0,12.222222222222221,18.61111111111111,0.0,0.0,0.0,0.0,0.0,6.93,11.1527262,16.1,,Clear
2020-02-10,New York,USW00094728,2020,2,10,Winter,47,42,44.5,8.333333333333334,5.555555555555555,6.944444444444445,0.37,9.398,0.0,0.0,0.0,6.26,10.074468399999999,14.1,    1,Rainy
2020-02-11,Chicago,USW00094846,2020,2,11,Winter,35,26,30.5,1.6666666666666667,-3.3333333333333335,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,9.62,15.481850799999998,21.9,    1,Freezing
2020-02-11,Los Angeles,USW00023174,2020,2,11,Winter,73,50,61.5,22.77777777777778,10.0,16.38888888888889,0.0,0.0,0.0,0.0,0.0,8.5,13.67939,19.9,,Clear
2020-02-11,New York,USW00094728,2020,2,11,Winter,48,43,45.5,8.88888888888889,6.111111111111111,7.5,0.28,7.112,0.0,0.0,0.0,3.58,5.7614372000000005,14.1,    1,Rainy
2020-02-12,Chicago,USW00094846,2020,2,12,Winter,37,24,30.5,2.7777777777777777,-4.444444444444445,-0.8333333333333334,0.18,4.571999999999999,2.0,5.08,0.0,5.37,8.6421558,15.0,    1,Snowy
